"","�..","CreationDate","DeletionDate","Score","ViewCount","Body","Title","Tags","AnswerCount","CommentCount","FavoriteCount","ClosedDate","CommunityOwnedDate","AcceptedAnswerId","CreationDateComparison","CreationTime"
"86",86,"2008-08-26 07:25:08",NA,1679,668263,"<p>What's the best way of checking if an object property in JavaScript is undefined?</p>
","Detecting an undefined object property","<javascript><object><undefined>",32,6,388,"","",416327,19,"07:25:08"
"87",87,"2008-10-10 15:29:56",NA,879,661845,"<p>I need to serialize an object to JSON. I'm using jQuery. Is there a ""standard"" way to do this?</p>

<p>My specific situation: I have an array defined as shown below:</p>

<pre><code>var countries = new Array();
countries[0] = 'ga';
countries[1] = 'cd';
...
</code></pre>

<p>and I need to turn this into a string to pass to <code>$.ajax()</code> like this:</p>

<pre><code>$.ajax({
    type: ""POST"",
    url: ""Concessions.aspx/GetConcessions"",
    data: ""{'countries':['ga','cd']}"",
...
</code></pre>
","Serializing to JSON in jQuery","<javascript><jquery><ajax><json><serialization>",11,3,265,"","",912247,64,"15:29:56"
"88",88,"2009-04-08 03:01:06",NA,1258,660885,"<p>I have an object <code>x</code>. I'd like to copy it as object <code>y</code>, such that changes to <code>y</code> do not modify <code>x</code>.</p>

<p>What's the most elegant way of doing this in JavaScript?</p>

<p><strong>Edit:</strong> </p>

<p>I realized that copying objects derived from built-in JavaScript objects will result in extra, unwanted properties. This isn't a problem, since I'm copying one of my own, literal-constructed objects.</p>
","Most elegant way to clone a JavaScript object","<javascript><object><clone>",40,16,443,"","2013-09-02 12:44:55",728694,244,"03:01:06"
"89",89,"2009-07-25 08:18:57",NA,610,659766,"<p>I need to determine if a value exists in an array.</p>

<p>I am using the following function:</p>

<pre><code>Array.prototype.contains = function(obj) {
    var i = this.length;
    while (i--) {
        if (this[i] == obj) {
            return true;
        }
    }
    return false;
}
</code></pre>

<p>The above function always returns false.</p>

<p>The array values and the function call is as below:</p>

<pre><code>arrValues = [""Sam"",""Great"", ""Sample"", ""High""]
alert(arrValues.contains(""Sam""));
</code></pre>
","Determine whether an array contains a value","<javascript><arrays><contains>",20,5,110,"2016-04-14 19:09:55","",1181586,352,"08:18:57"
"90",90,"2008-10-29 16:31:34",NA,320,646475,"<p>I need to do an <a href=""http://en.wikipedia.org/wiki/Hypertext_Transfer_Protocol#Request_methods"">HTTP GET</a> request in JavaScript. What's the best way to do that?</p>

<p>I need to do this in a Mac OS X dashcode widget.</p>
","HTTP GET request in JavaScript?","<javascript><http><get><dashcode>",16,3,121,"","",4033310,83,"16:31:34"
"91",91,"2009-07-08 13:21:32",NA,1277,646109,"<p>How do I check if a particular key exists in a JavaScript object or array?</p>

<p>If a key doesn't exist, and I try to access it, will it return false? Or throw an error?</p>
","Checking if a key exists in a JavaScript object?","<javascript><arrays><object>",8,1,263,"","",1098955,335,"13:21:32"
"92",92,"2008-09-19 20:01:00",NA,2006,645567,"<p>I'm trying to create globally-unique identifiers in JavaScript.  I'm not sure what routines are available on all browsers, how ""random"" and seeded the built-in random number generator is, etc..</p>

<p>The GUID / UUID should be at least 32 characters and should stay in the ASCII range to avoid trouble when passing them around.</p>
","Create GUID / UUID in JavaScript?","<javascript><guid><uuid>",38,3,768,"","2014-04-04 07:13:34",105074,43,"20:01:00"
"93",93,"2008-09-27 15:41:12",NA,512,644503,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""http://stackoverflow.com/questions/237104/array-containsobj-in-javascript"">array.contains(obj) in JavaScript</a>  </p>
</blockquote>



<p>What is the best way to find if an object is in an array?</p>

<p>This is the best way I know:</p>

<pre><code>function include(arr, obj) {
    for(var i=0; i&lt;arr.length; i++) {
        if (arr[i] == obj) return true;
    }
}

include([1,2,3,4], 3); // true
include([1,2,3,4], 6); // undefined
</code></pre>
","Best way to find if an item is in a JavaScript array?","<javascript><arrays>",8,2,135,"2012-04-05 19:54:40","",143863,51,"15:41:12"
"94",94,"2010-08-09 06:28:58",NA,813,643482,"<p>How can I get <code>windowWidth</code>, <code>windowHeight</code>, <code>pageWidth</code>, <code>pageHeight</code>, <code>screenWidth</code>, <code>screenHeight</code>, <code>pageX</code>, <code>pageY</code>, <code>screenX</code>, <code>screenY</code> which will work in all major browsers?</p>

<p><img src=""http://i.stack.imgur.com/6xPdH.png"" alt=""screenshot describing which values are wanted""></p>
","Get the size of the screen, current web page and browser window","<javascript><layout><cross-browser>",13,5,286,"","",3437825,732,"06:28:58"
"95",95,"2009-10-20 14:21:12",NA,391,641870,"<p>I have this html:</p>

<pre><code>&lt;input type=""text"" name=""textField"" /&gt;
&lt;input type=""submit"" value=""send"" /&gt;
</code></pre>

<p>How can I do something like this:</p>

<ul>
<li>When the text field is empty the submit should be disabled (disabled=""disabled"").</li>
<li>When something is typed in the text field to remove the disabled attribute.</li>
<li>If the text field becomes empty again(the text is deleted) the submit button should be disabled again.</li>
</ul>

<p>I tried something like this:</p>

<pre><code>$(document).ready(function(){
    $('input[type=""submit""]').attr('disabled','disabled');
    $('input[type=""text""]').change(function(){
        if($(this).val != ''){
            $('input[type=""submit""]').removeAttr('disabled');
        }
    });
});
</code></pre>

<p>... but it doesn't work. Any ideas? Thanks.</p>
","jQuery disable/enable submit button","<javascript><jquery><html><forms>",10,1,64,"","",1594992,439,"14:21:12"
"96",96,"2012-09-27 18:02:02",NA,310,638834,"<p>I have a huge jQuery application, and I'm using the below two methods for click events.</p>

<p><strong>First method</strong></p>

<h3>HTML</h3>

<pre><code>&lt;div id=""myDiv""&gt;Some Content&lt;/div&gt;
</code></pre>

<h3>jQuery</h3>

<pre><code>$('#myDiv').click(function(){
    //Some code
});
</code></pre>

<p><strong>Second method</strong></p>

<h3>HTML</h3>

<pre><code>&lt;div id=""myDiv"" onClick=""divFunction()""&gt;Some Content&lt;/div&gt;
</code></pre>

<h3>JavaScript function call</h3>

<pre><code>function divFunction(){
    //Some code
}
</code></pre>

<p>I use either the first or second method in my application. Which one is better? Better for performance? And standard?</p>
","jQuery.click() vs onClick","<javascript><html><javascript-events><jquery>",15,2,110,"","",12627478,1512,"18:02:02"
"97",97,"2009-05-28 16:18:14",NA,727,630996,"<p>How can I loop through all members in a JavaScript object including values that are objects.</p>

<p>For example, how could I loop through this (accessing the ""your_name"" and ""your_message"" for each)?</p>

<pre><code>var validation_messages = {
    ""key_1"": {
    	""your_name"": ""jimmy"",
    	""your_msg"": ""hello world""
    },
    ""key_2"": {
    	""your_name"": ""billy"",
    	""your_msg"": ""foo equals bar""
    }
}
</code></pre>
","How to Loop through JavaScript object literal with objects as members?","<javascript><object-literal>",11,1,220,"","",921808,294,"16:18:14"
"98",98,"2009-09-14 20:35:10",NA,147,630200,"<p>I have two radio buttons within an HTML form. A dialog box appears when one of the fields is null.  How can I check whether a radio button is selected?</p>
","How can I check whether a radio button is selected with JavaScript?","<javascript>",21,0,31,"","",NA,403,"20:35:10"
"99",99,"2008-11-06 12:26:31",NA,850,630182,"<p>I'm refactoring some old JavaScript code and there's a lot of DOM manipulation going on.</p>

<pre><code>var d = document;
var odv = d.createElement(""div"");
odv.style.display = ""none"";
this.OuterDiv = odv;

var t = d.createElement(""table"");
t.cellSpacing = 0;
t.className = ""text"";
odv.appendChild(t);
</code></pre>

<p>I would like to know if there is a better way to do this using jQuery. I've been experimenting with:</p>

<pre><code>var odv = $.create(""div"");
$.append(odv);
// And many more
</code></pre>

<p>But I'm not sure if this is any better.</p>
","jQuery document.createElement equivalent?","<javascript><jquery><html><dom><dhtml>",13,0,194,"","",268520,91,"12:26:31"
"100",100,"2009-03-08 06:41:13",NA,343,625557,"<p>Are there any JavaScript or jQuery APIs or methods to get the dimensions of an image on the page?</p>
","How to get image size (height & width) using JavaScript?","<javascript><jquery><image><jquery-plugins>",21,1,118,"","",623174,213,"06:41:13"
"101",101,"2009-05-13 14:09:45",NA,525,622794,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""http://stackoverflow.com/questions/27509/detecting-an-undefined-object-property-in-javascript"">Detecting an undefined object property in JavaScript</a>  </p>
</blockquote>



<p>I wanted to check whether the variable is defined or not. For example, the following throws a not-defined error  </p>

<pre><code>alert( x );
</code></pre>

<p>How can I catch this error?</p>
","How to check a not-defined variable in JavaScript","<javascript><variables><undefined>",7,3,233,"","",858193,279,"14:09:45"
"102",102,"2008-09-05 00:12:01",NA,617,621937,"<p>Given a string of JSON data, how can you safely turn that string into a JavaScript object?</p>

<p>Obviously you can do this unsafely with something like...</p>

<pre><code>var obj = eval(""("" + json + ')');
</code></pre>

<p>...but that leaves us vulnerable to the json string containing other code, which it seems very dangerous to simply eval.</p>
","Safely turning a JSON string into an object","<javascript><json>",16,3,132,"","",5686237,29,"00:12:01"
"103",103,"2009-08-26 16:10:13",NA,4474,621025,"<p>Recently, I ran some of my JavaScript code through Crockford's <a href=""http://www.jslint.com/"">JSLint</a>, and it gave the following error:</p>

<blockquote>
  <p>Problem at line 1 character 1: Missing ""use strict"" statement.</p>
</blockquote>

<p>Doing some searching, I realized that some people add <code>""use strict"";</code> into their JavaScript code. Once I added the statement, the error stopped appearing. Unfortunately, Google did not reveal much of the history behind this string statement. Certainly it must have something to do with how the JavaScript is interpreted by the browser, but I have no idea what the effect would be.</p>

<p>So what is <code>""use strict"";</code> all about, what does it imply, and is it still relevant?</p>

<p>Do any of the current browsers respond to the <code>""use strict"";</code> string or is it for future use?</p>
","What does ""use strict"" do in JavaScript, and what is the reasoning behind it?","<javascript><syntax><jslint><use-strict>",17,13,1040,"","",1335881,384,"16:10:13"
"104",104,"2011-01-04 10:15:11",NA,594,619662,"<p>How do I check if an element exists if the element is created by <code>.append()</code> method?
<code>$('elemId').length</code> doesn't work for me.</p>
","Check if element exists in jQuery","<javascript><jquery>",8,4,86,"2015-02-25 12:18:08","",4592511,880,"10:15:11"
"105",105,"2013-02-21 04:09:56",NA,4536,616754,"<p>Suppose I'm familiar with developing client-side applications in <a href=""http://jquery.com/"">jQuery</a>, but now I'd like to start using <a href=""http://angularjs.org/"">AngularJS</a>. Can you describe the paradigm shift that is necessary? Here are a few questions that might help you frame an answer:</p>

<ul>
<li>How do I architect and design client-side web applications differently? What is the biggest difference?</li>
<li>What should I stop doing/using; What should I start doing/using instead?</li>
<li>Are there any server-side considerations/restrictions?</li>
</ul>

<p>I'm not looking for a detailed comparison between <code>jQuery</code> and <code>AngularJS</code>.</p>
","""Thinking in AngularJS"" if I have a jQuery background?","<javascript><jquery><angularjs><design>",15,5,5148,"2015-06-23 19:58:31","",15012542,1659,"04:09:56"
"106",106,"2011-04-10 15:35:44",NA,446,605714,"<p>How can I convert a JavaScript object into a string?</p>

<p>Example:</p>

<pre><code>var o = {a:1, b:2}
console.log(o)
console.log('Item: ' + o)
</code></pre>

<p>Output:</p>

<blockquote>
  <p>Object { a=1, b=2} // very nice readable output :)<br>
  Item: [object Object] // no idea what's inside :(</p>
</blockquote>
","Converting an object to a string","<javascript><string><object><tostring>",21,9,112,"","",NA,976,"15:35:44"
"107",107,"2008-12-03 11:31:07",NA,3866,601896,"<p>I've recently started maintaining someone else's JavaScript code. I'm fixing bugs, adding features and also trying to tidy up the code and make it more consistent.</p>

<p>The previous developer uses two ways of declaring functions and I can't work out if there is a reason behind it or not.</p>

<p>The two ways are:</p>

<pre><code>var functionOne = function() {
    // Some code
};
</code></pre>



<pre><code>function functionTwo() {
    // Some code
}
</code></pre>

<p>What are the reasons for using these two different methods and what are the pros and cons of each? Is there anything that can be done with one method that can't be done with the other?</p>
","var functionName = function() {} vs function functionName() {}","<javascript><function><syntax><idioms>",25,16,1668,"","",336868,118,"11:31:07"
"108",108,"2010-08-01 18:47:14",NA,496,596022,"<p>When removing an element with standard JavaScript, you must go to it's parent first:</p>

<pre><code>var element = document.getElementById(""element-id"");
element.parentNode.removeChild(element);
</code></pre>

<p>Having to go to the parent node first seems a bit odd to me, is there a reason JavaScript works like this?</p>
","Remove element by id","<javascript>",14,7,116,"","",27710003,724,"18:47:14"
"109",109,"2008-11-19 14:59:19",NA,564,595011,"<p>With jQuery, how do I find out which key was pressed when I bind to the keypress event?</p>

<pre><code>$('#searchbox input').bind('keypress', function(e) {});
</code></pre>

<p>I want to trigger an submit when <kbd>ENTER</kbd> is pressed.</p>

<p><strong>[Update]</strong></p>

<p>Even though I found the (or better: one) answer myself, there seems to be some room for variation ;)</p>

<p>Is there a difference between <em>keyCode</em> and <em>which</em> - especially if I'm just looking for <kbd>ENTER</kbd>, which will never be a unicode key?</p>

<p>Do some browsers provide one property and others provide the other one? </p>
","jQuery Event Keypress: Which key was pressed?","<javascript><jquery><events><bind><keypress>",21,6,189,"","",302161,104,"14:59:19"
"110",110,"2008-10-02 20:23:55",NA,333,592092,"<p>How can I print a message to the error console, preferably including a variable? </p>

<p>For example, something like:</p>

<pre><code>print('x=%d', x);
</code></pre>
","JavaScript: How do I print a message to the error console?","<javascript><debugging>",15,1,55,"","",164408,56,"20:23:55"
"111",111,"2009-06-04 20:31:53",NA,646,590687,"<p>I have a string <code>12345.00</code> would like it to return <code>12345.0</code></p>

<p>I have looked at trim but looks only to trim whitespace and slice which I don't see how this would work. Any suggestions ?</p>
","Javascript chop/slice/trim off last character in string","<javascript><trim><slice><chop>",20,4,116,"","",952945,301,"20:31:53"
"112",112,"2009-03-26 06:01:47",NA,1030,584236,"<p>I have a JavaScript object like the following:</p>

<pre><code>var p = {
    ""p1"": ""value1"",
    ""p2"": ""value2"",
    ""p3"": ""value3""
};
</code></pre>

<p>Now I want to loop through all <code>p</code> elements (<code>p1</code>,<code>p2</code>,<code>p3</code>...) and get their keys and values. How can I do that?</p>

<p>I can modify the JavaScript object if necessary. My ultimate goal is to loop through some key value pairs and if possible I want to avoid using <code>eval</code>.</p>
","Loop through JavaScript object","<javascript>",17,2,307,"","",684692,231,"06:01:47"
"113",113,"2009-07-22 23:21:51",NA,479,582406,"<p>Here is my object literal:</p>

<pre><code>var obj = {key1: value1, key2: value2};
</code></pre>

<p>How can I add <code>{key3: value3}</code> to the object?</p>
","How can I add a key/value pair to a JavaScript object?","<javascript><object-literal>",14,3,153,"","",1168814,349,"23:21:51"
"114",114,"2009-08-14 20:14:45",NA,941,580223,"<p>I would like to move one DIV element inside another. For example, I want to move this (including all children):</p>

<pre><code>&lt;div id=""source""&gt;
...
&lt;/div&gt;
</code></pre>

<p>into this:</p>

<pre><code>&lt;div id=""destination""&gt;
...
&lt;/div&gt;
</code></pre>

<p>so that I have this:</p>

<pre><code>&lt;div id=""destination""&gt;
  &lt;div id=""source""&gt;
    ...
  &lt;/div&gt;
&lt;/div&gt;
</code></pre>
","How to move an element into another element?","<javascript><jquery><html>",11,1,128,"","",1279963,372,"20:14:45"
"115",115,"2009-04-30 16:38:36",NA,257,566930,"<p>I'm executing an external script, using a <code>&lt;script&gt;</code> inside <code>&lt;head&gt;</code>.</p>

<p>Now since the script executes <strong>before</strong> the page has loaded, I can't access the <code>&lt;body&gt;</code>, among other things. I'd like to execute some JavaScript after the document has been ""loaded"" (HTML fully downloaded and in-RAM). Are there any events that I can hook onto when my script executes, that will get triggered on page load?</p>
","Javascript that executes after page load","<javascript><html><javascript-events><pageload>",21,0,67,"","",807895,266,"16:38:36"
"116",116,"2009-07-15 20:22:48",NA,773,562267,"<p>How do I convert a <code>string</code> into an <code>integer</code> in JavaScript?</p>
","How do I convert a string into an integer in JavaScript?","<javascript><string><integer><parseint>",13,0,155,"","",1133814,342,"20:22:48"
"117",117,"2010-02-23 16:58:24",NA,332,558817,"<p>Can I use the following jQuery code to perform file upload using post method of an Ajax request ?</p>

<pre><code>$.ajax({
    type: ""POST"",
    timeout: 50000,
    url: url,
    data: dataString,
    success: function (data) {
        alert('success');
        return false;
    }
});
</code></pre>

<p>If it is possible, do I need to fill ""data"" part? Is it the correct way? I only post the file to the server side.</p>

<p>I have been Googling around, but what I found was a plugin while in my plan I do not want to use it. At least for the moment.</p>
","jQuery Ajax File Upload","<javascript><jquery><ajax><post><file-upload>",14,3,143,"","",2320097,565,"16:58:24"
"118",118,"2010-02-03 19:57:36",NA,220,558732,"<p>I have a simple jquery click event</p>

<pre><code>&lt;script type=""text/javascript""&gt;
    $(function() {
        $('#post').click(function() {
            alert(""test""); 
        });
    });
&lt;/script&gt;
</code></pre>

<p>and a jquery reference defined in the site.master</p>

<pre><code>&lt;script src=""&lt;%=ResolveUrl(""~/Scripts/jquery-1.3.2.js"")%&gt;"" type=""text/javascript""&gt;&lt;/script&gt;
</code></pre>

<p>I have checked that the script is being resolved correctly, i'm able to see the markup and view the script directly in firebug, so i must be being found. However i am still getting:</p>

<blockquote>
  <p>$ is not defined</p>
</blockquote>

<p>and non of the jquery works. I've also tried the various variations of this like $(document).ready and jQuery etc.</p>

<p>It's an MVC 2 app on .net 3.5, i'm sure i'm being really dense, everywhere on google says check the file is reference correctly, which i have checked and checked again, please advise! :/</p>
","JQuery - $ is not defined","<javascript><jquery><asp.net-mvc>",32,10,47,"","",2195167,545,"19:57:36"
"119",119,"2008-09-06 20:53:54",NA,571,554695,"<p>Using core jQuery, how do you remove all the options of a select box, then add one option and select it?</p>

<p>My select box is the following.</p>

<pre><code>&lt;Select id=""mySelect"" size=""9"" &lt;/Select&gt;
</code></pre>

<p>EDIT: The following code was helpful with chaining. However, (in Internet&nbsp;Explorer) <code>.val('whatever')</code> did not select the option that was added. (I did use the same 'value' in both <code>.append</code> and <code>.val</code>.)</p>

<pre><code>$('#mySelect').find('option').remove().end().append('&lt;option value=""whatever""&gt;text&lt;/option&gt;').val('whatever');
</code></pre>

<p>EDIT: Trying to get it to mimic this code, I use the following code whenever the page/form is reset. This select box is populated by a set of radio buttons. <code>.focus()</code> was closer, but the option did not appear selected like it does with <code>.selected= ""true""</code>. Nothing is wrong with my existing code - I am just trying to learn jQuery.</p>

<pre><code>var mySelect = document.getElementById('mySelect');
mySelect.options.length = 0;
mySelect.options[0] = new Option (""Foo (only choice)"", ""Foo"");
mySelect.options[0].selected=""true"";
</code></pre>

<p>EDIT: selected answer was close to what I needed. This worked for me:</p>

<pre><code>$('#mySelect').children().remove().end().append('&lt;option selected value=""whatever""&gt;text&lt;/option&gt;') ;
</code></pre>

<p>But both answers led me to my final solution..</p>
","How do you remove all the options of a select box and then add one option and select it with jQuery?","<javascript><jquery><option><html-select>",15,0,144,"","",47829,30,"20:53:54"
"120",120,"2010-11-12 08:20:50",NA,478,550889,"<p>If I defined an object in JS with:</p>

<pre><code>var j={""name"":""binchen""};
</code></pre>

<p>How can I convert the object to JSON? The output string should be:</p>

<pre><code>'{""name"":""binchen""}'
</code></pre>
","Convert JS object to JSON string","<javascript><json>",9,1,79,"","",4162803,827,"08:20:50"
"121",121,"2009-04-30 02:11:55",NA,1071,547633,"<p>I have the following code in Ruby. I want to convert this code into JavaScript. what's the equivalent code in JS?</p>

<pre><code>text = &lt;&lt;""HERE""
This
Is
A
Multiline
String
HERE
</code></pre>
","Creating multiline strings in JavaScript","<javascript><string><multiline><heredoc>",31,3,210,"","",805113,266,"02:11:55"
"122",122,"2011-04-14 15:47:52",NA,399,539386,"<p>I try to check a radio button with jQuery. Here's my code:</p>

<pre><code>&lt;form&gt;
    &lt;div id='type'&gt;
        &lt;input type='radio' id='radio_1' name='type' value='1' /&gt;
        &lt;input type='radio' id='radio_2' name='type' value='2' /&gt;
        &lt;input type='radio' id='radio_3' name='type' value='3' /&gt; 
    &lt;/div&gt;
&lt;/form&gt;
</code></pre>

<p>And the JavasScript: </p>

<pre><code>jQuery(""#radio_1"").attr('checked', true);
</code></pre>

<p>Doesn't work:</p>

<pre><code>jQuery(""input[value='1']"").attr('checked', true);
</code></pre>

<p>Doesn't work:</p>

<pre><code>jQuery('input:radio[name=""type""]').filter('[value=""1""]').attr('checked', true);
</code></pre>

<p>Doesn't work:</p>

<p>Do you have another idea? What am I missing?</p>
","How to check a radio button with jQuery ?","<javascript><jquery><forms><radio-button>",22,1,62,"","",5665942,980,"15:47:52"
"123",123,"2009-02-25 14:29:30",NA,1001,536426,"<p>I am looking for a Javascript array insert method, in the style of:</p>

<pre><code>arr.insert(index, item)
</code></pre>

<p>Preferably in jQuery, but any Javascript implementation will do at this point.</p>
","How to insert an item into an array at a specific index?","<javascript><arrays><insert>",5,3,130,"","",586189,202,"14:29:30"
"124",124,"2010-08-29 16:12:40",NA,419,535879,"<p>I'm developing a page that pulls images from Flickr and Panoramio via jQuery's AJAX support.</p>

<p>The Flickr side is working fine, but when I try to <code>$.get(url, callback)</code> from Panoramio, I see an error in Chrome's console:</p>

<blockquote>
  <p>XMLHttpRequest cannot load <a href=""http://www.panoramio.com/wapi/data/get_photos?v=1&amp;key=dummykey&amp;tag=test&amp;offset=0&amp;length=20&amp;callback=processImages&amp;minx=-30&amp;miny=0&amp;maxx=0&amp;maxy=150"">http://www.panoramio.com/wapi/data/get_photos?v=1&amp;key=dummykey&amp;tag=test&amp;offset=0&amp;length=20&amp;callback=processImages&amp;minx=-30&amp;miny=0&amp;maxx=0&amp;maxy=150</a>. Origin null is not allowed by Access-Control-Allow-Origin.</p>
</blockquote>

<p>If I query that URL from a browser directly it works fine.  What is going on, and can I get around this?  Am I composing my query incorrectly, or is this something that Panoramio does to hinder what I'm trying to do?</p>

<p>Google didn't turn up any useful matches on the <a href=""http://www.google.co.uk/search?q=%22Origin+null+is+not+allowed+by+Access-Control-Allow-Origin%22"">error message</a>.</p>

<p><strong>EDIT</strong></p>

<p>Here's some sample code that shows the problem:</p>

<pre><code>$().ready(function () {
  var url = 'http://www.panoramio.com/wapi/data/get_photos?v=1&amp;key=dummykey&amp;tag=test&amp;offset=0&amp;length=20&amp;callback=processImages&amp;minx=-30&amp;miny=0&amp;maxx=0&amp;maxy=150';

  $.get(url, function (jsonp) {
    var processImages = function (data) {
      alert('ok');
    };

    eval(jsonp);
  });
});
</code></pre>

<p>You can <a href=""http://jsfiddle.net/ZfvKm/"">run the example online</a>.</p>

<p><strong>EDIT 2</strong></p>

<p>Thanks to Darin for his help with this.  <strong>THE ABOVE CODE IS WRONG.</strong>  Use this instead:</p>

<pre><code>$().ready(function () {
  var url = 'http://www.panoramio.com/wapi/data/get_photos?v=1&amp;key=dummykey&amp;tag=test&amp;offset=0&amp;length=20&amp;minx=-30&amp;miny=0&amp;maxx=0&amp;maxy=150&amp;callback=?';

  $.get(url, function (data) {
    // can use 'data' in here...
  });
});
</code></pre>
","XmlHttpRequest error: Origin null is not allowed by Access-Control-Allow-Origin","<javascript><jquery><xmlhttprequest><jsonp><same-origin-policy>",16,7,162,"","",3744697,752,"16:12:40"
"125",125,"2009-08-31 11:58:31",NA,1903,528702,"<p>When I want to prevent other event handlers from executing after a certain event is fired, I can use one of two techniques. I'll use jQuery in the examples, but this applies to plain-JS as well:</p>

<h3>1. <code>event.preventDefault()</code></h3>

<pre><code>$('a').click(function (e) {
    // custom handling here
    e.preventDefault();
});
</code></pre>

<h3>2. <code>return false</code></h3>

<pre><code>$('a').click(function () {
    // custom handling here
    return false;
});
</code></pre>

<p>Is there any significant difference between those two methods of stopping event propagation?</p>

<p>For me, <code>return false;</code> is simpler, shorter and probably less error prone than executing a method. With the method, you have to remember about correct casing, parenthesis, etc. </p>

<p>Also, I have to define the first parameter in callback to be able to call the method. Perhaps, there are some reasons why I should avoid doing it like this and use <code>preventDefault</code> instead? What's the better way?</p>
","event.preventDefault() vs. return false","<javascript><jquery><javascript-events><event-handling><event-propagation>",9,7,739,"","",1357151,389,"11:58:31"
"126",126,"2008-08-14 15:57:07",NA,309,528421,"<p>The question says it all really, I'm looking for book recommendations, video tutorials etc. I've been programming since I was about six so I don't need a book that spends 4 pages on for loops (thought that might be a <a href=""http://www.codinghorror.com/blog/archives/000848.html"" rel=""nofollow"">Bad example</a> in terms of javascript).</p>

<p>Also I'm learning ASP.net at the moment so anything on interoperability features/issues would be welcome, though I'm guessing I just showed my ignorance with that question.</p>
","Best resources to learn JavaScript","<javascript>",38,3,1423,"","2011-07-21 12:18:18",11266,7,"15:57:07"
"127",127,"2009-03-13 08:50:23",NA,299,528196,"<p>How can I hook into a browser window resize event?</p>

<p>There's <a href=""http://stackoverflow.com/questions/599288/cross-browser-window-resize-event-javascript-jquery"">a jQuery way of listening for resize events</a> but I would prefer not to bring it into my project for just this one requirement.</p>
","JavaScript window resize event","<javascript>",10,1,60,"","",641874,218,"08:50:23"
"128",128,"2009-07-20 20:08:52",NA,227,526771,"<p>Is <code>\n</code> the universal newline character sequence in Javascript for all platforms? If not, how do I determine the character for the current environment?</p>

<p>I'm not asking about the HTML newline element (<code>&lt;BR/&gt;</code>). I'm asking about the newline character sequence used within JavaScript strings.</p>
","JavaScript string newline character?","<javascript><newline>",12,3,49,"","",1156388,347,"20:08:52"
"129",129,"2009-02-03 13:54:00",NA,412,526708,"<p>I have a element that already has a class:</p>

<pre><code>&lt;div class=""someclass""&gt;
    &lt;img ... id=""image1"" name=""image1"" /&gt;
&lt;/div&gt;
</code></pre>

<p>Now I want to create a javascript function that will add a class to the div (not replace, but add).</p>

<p>How can I do that?</p>
","How do I add a class to a given element?","<javascript>",18,0,71,"","",507157,180,"13:54:00"
"130",130,"2008-09-30 13:17:12",NA,1193,526649,"<p>I have some HTML menus, which I show completely when a user clicks on the head of these menus. I would like to hide these elements when the user clicks outside the menus' area.</p>

<p>Is something like this possible with jQuery?</p>

<pre><code>$(""#menuscontainer"").clickOutsideThisElement(function() {
    // hide the menus
});
</code></pre>
","How to detect a click outside an element?","<javascript><jquery>",57,4,418,"","2013-04-18 14:18:21",153047,54,"13:17:12"
"131",131,"2008-10-04 20:58:46",NA,850,525704,"<p>What is the best method for adding options to a select from a JSON object using jQuery?</p>

<p>I'm looking for something that I don't need a plugin to do, but would also be interested in the plugins that are out there.</p>

<p>This is what I did:</p>

<pre><code>selectValues = { ""1"": ""test 1"", ""2"": ""test 2"" };

for (key in selectValues) {
  if (typeof (selectValues[key] == 'string') {
    $('#mySelect').append('&lt;option value=""' + key + '""&gt;' + selectValues[key] + '&lt;/option&gt;');
  }
}
</code></pre>

<p><strong>A clean/simple solution:</strong></p>

<p>This is a cleaned up and simplified <a href=""http://stackoverflow.com/questions/170986/what-is-the-best-way-to-add-options-to-a-select-from-an-array-with-jquery/171007#171007"">version of matdumsa's</a>:</p>

<pre><code>$.each(selectValues, function(key, value) {   
     $('#mySelect')
          .append($('&lt;option&gt;', { value : key })
          .text(value)); 
});
</code></pre>

<p>Changes from matdumsa's: (1) removed the close tag for the option inside append() and (2) moved the properties/attributes into an map as the second parameter of append().</p>
","What is the best way to add options to a select from an array with jQuery?","<javascript><jquery><arrays><html-select>",26,4,213,"","",171007,58,"20:58:46"
"132",132,"2009-05-05 10:54:05",NA,1062,525343,"<p>Is there any way I can modify the URL of the current page without reloading the page?</p>

<p>I would like to access the portion <strong>before</strong> the # hash if possible.</p>

<p>I only need to change the portion <strong>after</strong> the domain, so its not like I'm violating cross-domain policies.</p>

<pre><code> window.location.href = ""www.mysite.com/page2.php"";  // sadly this reloads
</code></pre>
","Modify the URL without reloading the page","<javascript><html><url><url-rewriting><friendly-url>",19,4,535,"","",3354511,271,"10:54:05"
"133",133,"2009-02-25 21:45:11",NA,249,520103,"<p>Which is more widely supported: <code>window.onload</code> or <code>document.onload</code>?</p>
","window.onload vs document.onload","<javascript><javascript-events>",7,0,85,"","",588048,202,"21:45:11"
